path	tpath	twidth	theight	title	location	headline	description	creator	city	state	country	copyright	categories
assets/images/gallery/2019wjg0409_0349.jpg	assets/images/thumbnails/2019wjg0409_0349.jpg	300	200	Chamber over the hall as improved in 1768	Melwood	Melwood, 11008 Old Marlboro Pike, Upper Marlboro, Prince George's County, Maryland	First-period construction of the house was dated by dendrochronology to 1713 and spring of 1714. It was owned by Henry Darnell Jr. (1682–1737) who also owned an adjacent 7,000-acre plantation granted under the name His Lordship's Kindness. This was a timber-frame, hall-and-parlor house with a rear extension. It was lengthened slightly in the 1740s or '50s. Dendrochronology shows that additional changes were  changes were made  in 1767 and 1768 (felling dates of the trees), which included bricking in the front, gables, and portions of the rear, lengthening of the house, raising the front to two stories, retrimming the interior, inserting a center passage, presumably rebuilding the rear wing, and reusing timbers on the front side of the roof as it was jacked up to two stories, but retaining the single-story slope and framing of the rear. 1768 mantel, second-floor chamber over the hall.	Willie Graham	Prince George's Co.	MD	USA	WILLIE GRAHAM 2019	timber frame,mantel,chimneypiece,hearth,firebox,chamber,window
assets/images/gallery/2023WJG0717_0103.jpg	assets/images/thumbnails/2023WJG0717_0103.jpg	300	450	Detail of end buttress	Wye Church	Wye Church, Wye Mills, Talbot County, Maryland	Wye Church was constructed in 1717–21, renovated in 1854, and restored in 1947–49	Willie Graham	Talbot Co.	MD	USA	WILLIE GRAHAM 2023	hurch,brick,masonry,buttress,flemish bond,glazed header,glaze,glazed header flemish bond
assets/images/gallery/2024WJG0606_0108.jpg	assets/images/thumbnails/2024WJG0606_0108.jpg	299	449	Detail of glazed header Flemish bond made with slop-molded brick	St. Bartholomew Church	St. Bartholomew Church, 4025 Green Hill Church Road, Quantico, Wicomico, Maryland	Built 1733		Wicomico	MD	USA	Willie Graham 2024	church,brick,masonry,water struck,slop molded,header,glazed header,lime mortar,shell lime,ruled joint
assets/images/gallery/2020WJG0620_0014b&w.jpg	assets/images/thumbnails/2020WJG0620_0014b&w.jpg	300	450	Curtail step, 1840s	Hyde Park	Hyde Park, 6808 West Courthouse Road, Nottoway County, Burkeville, Virginia	National Register Nomination for Hyde Park suggests the house was likely built between 1762 and 1782 by John Fowlkes. This includes the central portion of the house built with English bond cellar walls and Flemish above. The house was significantly rebuilt and retrimmed around 1840 possibly by Paschal J. Fowlkes. Hyde Park was improved with significant additions and alterations, reportedly in 1906. The interior work attempted to blend with the c. 1840s changes to the house. Improvements included rebuilding of the staircase to make it a gentler run. It was purchased in 1938 by Richmond department store owner William B. Thalhimer who used it as a training farm for Jewish students from Nazi Germany of the German agricultural Gross Breesen Institute. Two buildings sat to the rear of the house. One recently collapsed, leaving standing its two brick end chimneys. The Thalhimers referred to that building as the overseers' house, although it likely served as a kitchen and service building, with quarters upstairs--possibly for the overseer. A second structure remains standing that likely served as a double slave quarter. It is of frame construction and consists two rooms with a center chimney. Each room has its own, front exterior door. A tight winder stair rose in the front corner of the right room to an unheated and unfinished attic accessed only from the one side. The interior of the quarter appears to have had no finish until the 20th century. The frame sits on stone piers. The chimney is constructed of stone and includes large cooking fireplaces in each room. They are each spanned by a large oak lintel beveled on its rear and a wooden trammel bar that ran the width of the fireplace, set into its flue. Built of hewn and pit sawn framing and with mature, machine-cut nails. Conceivably it was constructed around 1840 when the house was first improved. The structure has been assumed to have been constructed as the kitchen and laundry for the site, but that seems unlikely.	Willie Graham	Nottoway Co.	VA	USA	WILLIE GRAHAM 2020	talheimer,hyde park,stair,stairs,volutte,curtail,step,curtail step,handrail,baluster
assets/images/gallery/2024WJG07102544 b&w.jpg	assets/images/thumbnails/2024WJG07102544 b&w.jpg	299	449	Facade of basilica; designed by Emilio Tarlier; built 1892-1909	Basílica del Voto Nacional (Bas	Basílica del Voto Nacional (Basilica of National Vow), Venezuela 11-263 y, Quito, Pichincha Province, Ecuador	Designed by architect Emilio Tarlier ; built 1892-1909. Largest neo-Gothic basilica in the Americas	Willie Graham	Quito	 Pichincha Province	Ecuador	Willie Graham 2024	vmfa,basilica,church,catholic,stone,gothic,gothic revival,neo gothic,gargoyle,architect,emilio tarlier
assets/images/gallery/2024WJG07101583.jpg	assets/images/thumbnails/2024WJG07101583.jpg	300	450	Galapagos land iguana feeding on a giant prickly pear	North Seymour Island	North Seymour Island, Galapagos, Archipiélago de Colón, Ecuador		Willie Graham	Galapagos	Archipiélago de Colón	Ecuador	Willie Graham 2024	vmfa,galapagos,iguana,land iguana,galapagos land iguana,prickly pear,giant prickly pear
assets/images/gallery/2019wjg0409_0375.jpg	assets/images/thumbnails/2019wjg0409_0375.jpg	299	449	Detail of water table, rear wall, 1768	Melwood	Melwood, 11008 Old Marlboro Pike, Upper Marlboro, Prince George's County, Maryland	First-period construction of the house was dated by dendrochronology to 1713 and spring of 1714. It was owned by Henry Darnell Jr. (1682–1737) who also owned an adjacent 7,000-acre plantation granted under the name His Lordship's Kindness. This was a timber-frame, hall-and-parlor house with a rear extension. It was lengthened slightly in the 1740s or '50s. Dendrochronology shows that additional changes were  changes were made  in 1767 and 1768 (felling dates of the trees), which included bricking in the front, gables, and portions of the rear, lengthening of the house, raising the front to two stories, retrimming the interior, inserting a center passage, presumably rebuilding the rear wing, and reusing timbers on the front side of the roof as it was jacked up to two stories, but retaining the single-story slope and framing of the rear.	Willie Graham	Prince George's Co.	MD	USA	WILLIE GRAHAM 2019	flemish bond,brick,masonry,joint,closer' flemish bond,shell,lime,mortar,struck,grappevine,water table,plinth
assets/images/gallery/2024WJG1119_0023.jpg	assets/images/thumbnails/2024WJG1119_0023.jpg	299	199	Front elevation; 1705	Cloverfields	Cloverfields, 500 Formans Landing Road, Queenstown, Queen Anne's County, Maryland	Built 1705 for Philemon Hemsley; improved in 1728-29, 1750s, shed roof on rear in 1761; 1769; service wing 1784. Major changes in 1850s and 1912	Willie Graham	Queen Anne's Co.	MD	USA	Willie Graham 2024	house,dwelling,shell,path,oyster shell,gravel,circular drive,porch,dormer,brick,masonry,glazed header flemish bond,flemish bond,garden
assets/images/gallery/2020WJG0620_0027.jpg	assets/images/thumbnails/2020WJG0620_0027.jpg	299	199	Patent lock on parlor doorway, 1840s	Hyde Park	Hyde Park, 6808 West Courthouse Road, Nottoway County, Burkeville, Virginia	National Register Nomination for Hyde Park suggests the house was likely built between 1762 and 1782 by John Fowlkes. This includes the central portion of the house built with English bond cellar walls and Flemish above. The house was significantly rebuilt and retrimmed around 1840 possibly by Paschal J. Fowlkes. Hyde Park was improved with significant additions and alterations, reportedly in 1906. The interior work attempted to blend with the c. 1840s changes to the house. Improvements included rebuilding of the staircase to make it a gentler run. It was purchased in 1938 by Richmond department store owner William B. Thalhimer who used it as a training farm for Jewish students from Nazi Germany of the German agricultural Gross Breesen Institute. Two buildings sat to the rear of the house. One recently collapsed, leaving standing its two brick end chimneys. The Thalhimers referred to that building as the overseers' house, although it likely served as a kitchen and service building, with quarters upstairs--possibly for the overseer. A second structure remains standing that likely served as a double slave quarter. It is of frame construction and consists two rooms with a center chimney. Each room has its own, front exterior door. A tight winder stair rose in the front corner of the right room to an unheated and unfinished attic accessed only from the one side. The interior of the quarter appears to have had no finish until the 20th century. The frame sits on stone piers. The chimney is constructed of stone and includes large cooking fireplaces in each room. They are each spanned by a large oak lintel beveled on its rear and a wooden trammel bar that ran the width of the fireplace, set into its flue. Built of hewn and pit sawn framing and with mature, machine-cut nails. Conceivably it was constructed around 1840 when the house was first improved. The structure has been assumed to have been constructed as the kitchen and laundry for the site, but that seems unlikely.	Willie Graham	Nottoway Co.	VA	USA	WILLIE GRAHAM 2020	talheimer,hyde park,lock,rim lock,rimlock,patent,patent lock,cast iron rim lock,carpenter lock
assets/images/gallery/2023WJG0925_0009.jpg	assets/images/thumbnails/2023WJG0925_0009.jpg	300	200	Header bond (left); Flemish bond, right, 1755	Mulberry Fields	Mulberry Fields, 19700 Mulberry Fields Road, Leonardtown, St. Mary's County, Maryland	Two-story, double-pile brick house. Trees felled during the winter of 1755 for construction of the house as determined by dendrochronology (Heikkenen). All-header bond land and garden fronts; Flemsih bond gables. King-post truss hipped roof with dropped ridge board. Land front to gable corner	Willie Graham	St. Mary's Co.	MD	USA	WILLIE GRAHAM 2023	house,dwelling,header bond,flemish bond,brick,masonry,closer,stretcher,header
assets/images/gallery/2019wjg0409_0407.jpg	assets/images/thumbnails/2019wjg0409_0407.jpg	300	200	Dining room	Melwood	Melwood, 11008 Old Marlboro Pike, Upper Marlboro, Prince George's County, Maryland	First-period construction of the house was dated by dendrochronology to 1713 and spring of 1714. It was owned by Henry Darnell Jr. (1682–1737) who also owned an adjacent 7,000-acre plantation granted under the name His Lordship's Kindness. This was a timber-frame, hall-and-parlor house with a rear extension. It was lengthened slightly in the 1740s or '50s. Dendrochronology shows that additional changes were  changes were made  in 1767 and 1768 (felling dates of the trees), which included bricking in the front, gables, and portions of the rear, lengthening of the house, raising the front to two stories, retrimming the interior, inserting a center passage, presumably rebuilding the rear wing, and reusing timbers on the front side of the roof as it was jacked up to two stories, but retaining the single-story slope and framing of the rear. dining room. Mantel cornice dates to the second quarter of the 19th century.	Willie Graham	Prince George's Co.	MD	USA	WILLIE GRAHAM 2019	dining room,mantel,chimneypiece,hearth,firebox,bolection,cornice
assets/images/gallery/2024WJG07100334 B&w.jpg	assets/images/thumbnails/2024WJG07100334 B&w.jpg	300	200	Archaeological ruins; detail of Inca stonework		Ollantaytambo, Sacred Valley, Urubamba Province, Peru	A termple and fortress where Incan emperor Pachacuti built his estate after conquering it in the mid 1400s. From website https://www.peruforless.com/blog/ollantaytambo: Ollantaytambo was one of many settlements conquered by Pachacutec, the 9th Inca king who commandeered the transformation of the Cusco Kingdom into the powerful Tawantinsuyu or Inca Empire. Under his reign, Ollantaytambo served as a pivotal outpost for Inca nobles and agrarian laborers. Upon his death, the estate remained under the control of his lineage in accordance with the land privileges reserved for Inca kings. When the rebel leader Manco Inca escaped from Cusco, he established his headquarters here and it became the site of the infamous Battle of Ollantaytambo in 1537. Facing an incoming attack, Manco Inca ordered the building of a river dam to flood the valley and used the terraces as higher ground to defeat the Spanish soldiers. The Inca rebel forces eventually retreated further into the jungle, and Ollantaytambo fell firmly into the possession of the Spanish colonists. The town became a focal point for settlement in the Sacred Valley – first as anencomienda granted to Hernando Pizarro, brother of Conqueror Francisco Pizarro; and then as an important source of tribute and labor for the colonial state. (Encomiendas were parcels of land given to Spanish settlers. In feudal-like fashion, the grantee was entitled to the labor of native communities who resided therein, ostensibly in exchange for religious education and protection.) The town of Ollantaytambo remained inhabited throughout this period of tumult. Today, its oldest pre-Columbian dwellings share space with Spanish colonial buildings and contemporary constructions.	Willie Graham	Ollantaytambo	Urubamba Province	Peru	Willie Graham 2024	vmfa,inca,ollantaytambo,sacred valley,manco inca,native american,spamish,conquistador,stone,masonry,fort,fortification,headquarter,pachacuti,temple
